cohort,family,case,forbidden_transition_accepted,exception_type,detail
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,95,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,96,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,97,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,98,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,99,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,100,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,101,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,102,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,103,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,104,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,105,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,106,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,107,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,108,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,109,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,110,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
PRIMARY,F0_DIRECT_CONSTRUCTION_BYPASS,111,0,TypeError,EpistemicRecord can only be constructed by EpistemicMachine
