seed,context,gamma,method,top1_A,false_credit_mass,score_A,score_C,score_D,score_B,max_efficiency_error,counterfactual_structural_evaluations
1026,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1026,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1027,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.963293943992334e-16,0.5,4.9388232399872243e-17,4.9388232399872243e-17,4.9388232399872243e-17,1.1102230246251565e-16,20736
1027,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6718259703530528,0.46348678646089975,0.8879262079151355,0.018121336452969587,0.042785793830229554,1.1102230246251565e-16,20736
1027,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1027,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1028,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.974169847035079e-16,0.5,4.956949745058466e-17,4.956949745058466e-17,4.956949745058466e-17,1.1102230246251565e-16,20736
1028,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6940145477726452,0.45583330686800505,0.8724348997694987,0.006024888252434245,0.1554290587283642,1.1102230246251565e-16,20736
1028,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1028,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1029,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.5392607802673587e-16,0.5,4.232101300445599e-17,4.232101300445599e-17,4.232101300445599e-17,1.1102230246251565e-16,20736
1029,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.7385533004089767,0.3708490660316917,0.873781692641411,0.05011856690127949,0.12370065528903902,1.1102230246251565e-16,20736
1029,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1029,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1030,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,3.1684453238173255e-16,0.5,5.28074220636221e-17,5.28074220636221e-17,5.28074220636221e-17,1.1102230246251565e-16,20736
1030,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.753383962680772,0.3551897678852185,0.8670949813493476,0.12477493826039869,0.09319444904137485,1.1102230246251565e-16,20736
1030,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1030,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
1031,TRAIN_CONFOUNDED,2.0,EXACT_CF_SHAPLEY,1,2.5562776721776976e-16,0.5,4.2604627869628305e-17,4.2604627869628305e-17,4.2604627869628305e-17,1.1102230246251565e-16,20736
1031,TRAIN_CONFOUNDED,2.0,OBS_ASSOC,0,0.6623322138434703,0.4924480643997075,0.8924999905938598,0.04255887750187239,0.03087341821834674,1.1102230246251565e-16,20736
1031,TRAIN_CONFOUNDED,2.0,RECENCY,0,0.9,0.25,0.5,0.75,1.0,1.1102230246251565e-16,20736
1031,TRAIN_CONFOUNDED,2.0,EQUAL,0,0.75,1.0,1.0,1.0,1.0,1.1102230246251565e-16,20736
