cohort,family,seed,upstream_state,reference_beta,unrestricted_state,unrestricted_beta_set_kind,unrestricted_exact_equivalent_count,unrestricted_finite_grid_beta_min,unrestricted_finite_grid_beta_max,unrestricted_finite_grid_beta_diameter,unrestricted_frontier_size,unrestricted_frontier_max_path_error,constrained_state,direct_interval_exists,direct_interval_lower,direct_interval_upper,direct_interval_width,material_countermodel_within_bound,causal_authority_granted_unrestricted,causal_authority_granted_constrained
PRIMARY,R0_VALID,91027,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7498310268377243,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,20,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6001544762679962,0.8995053798854264,0.2993509036174302,False,False,False
PRIMARY,R0_VALID,91028,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8210541756213415,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6786943186925578,0.9586836369179833,0.2799893182254255,False,False,False
PRIMARY,R0_VALID,91029,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8188034750835751,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6732285655615172,0.9633521350502539,0.29012356948873663,False,False,False
PRIMARY,R0_VALID,91030,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7938613337316487,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,16,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6474345604924627,0.9402536752823343,0.29281911478987155,False,False,False
PRIMARY,R0_VALID,91031,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7901893055276114,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,18,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6416233223433341,0.9359042744085894,0.2942809520652553,False,False,False
PRIMARY,R0_VALID,91032,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8286840392190282,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.686281174683057,0.9710824446669416,0.28480126998388455,False,False,False
PRIMARY,R0_VALID,91033,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.7955802218542194,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.649669494553022,0.9414300337449576,0.29176053919193556,False,False,False
PRIMARY,R0_VALID,91034,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8096865989109531,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,17,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6661339159739096,0.9533046653115196,0.28717074933761,False,False,False
PRIMARY,R0_VALID,91035,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8173938835919169,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,16,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.674131163198577,0.9606539117632569,0.28652274856467985,False,False,False
PRIMARY,R0_VALID,91036,CAUSAL_CANDIDATE_UNDER_ASSUMPTIONS,0.8165995170282969,OBSERVATIONALLY_EQUIVALENT_COUNTERMODEL_SURVIVES,ALL_REAL_BETA_UNDER_UNRESTRICTED_REPARAMETERIZATION,69,-0.5,2.0,2.5,15,1.7763568394002505e-15,ASSUMPTION_CONDITIONAL_IDENTIFICATION_COUNTERMODELS_OUTSIDE_BOUNDS,True,0.6761779387634299,0.9549818030989787,0.2788038643355488,False,False,False
