cohort,family,case,pass,state,selected_action,certificate_valid_before,digest_deterministic,mutated_world_certificate_accepted,stale_certificate_accepted,dropped_world_certificate_accepted,no_causal_truth_field,information_state,necessary_information_cost
PRIMARY,P1,106,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,107,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,108,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,109,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,110,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,111,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,112,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,113,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,114,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,115,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,116,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,117,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,118,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,119,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,120,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,121,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,122,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,123,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,124,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,125,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,126,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P1,127,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,0,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,1,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,2,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,3,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,4,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,5,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,6,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,7,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,8,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,9,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,10,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,11,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,12,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,13,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,14,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,15,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,16,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,17,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,18,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,19,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,20,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,21,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,22,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,23,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,24,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,25,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,26,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,27,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,28,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,29,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,30,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,31,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,32,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,33,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,34,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,35,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,36,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
PRIMARY,P2,37,1,ABSTAIN_WORLD_DISAGREEMENT,,1,1,0,,,1,,
