seed,split,model,horizon,mse
2013,OOD,STATELESS,2,26.85509447405554
2013,OOD,STATELESS,4,81.47970004693025
2013,OOD,STATELESS,8,236.1235734345052
2013,OOD,DYNAMIC_HISTORY,1,0.42951882254145896
2013,OOD,DYNAMIC_HISTORY,2,3.202325522886948
2013,OOD,DYNAMIC_HISTORY,4,25.517631481080038
2013,OOD,DYNAMIC_HISTORY,8,180.97028118469606
2013,OOD,LEAKAGE_ORACLE,1,6.4484549134384094e-12
2014,ID,STATELESS,1,20.49310799155256
2014,ID,STATELESS,2,78.98511638302001
2014,ID,STATELESS,4,298.63367498054413
2014,ID,STATELESS,8,1067.85949617567
2014,ID,DYNAMIC_HISTORY,1,0.020074571727543688
2014,ID,DYNAMIC_HISTORY,2,0.058131816057097586
2014,ID,DYNAMIC_HISTORY,4,0.23472512087571118
2014,ID,DYNAMIC_HISTORY,8,0.9499226776303559
2014,ID,LEAKAGE_ORACLE,1,2.3291533460042216e-12
2014,OOD,STATELESS,1,12.456472260680487
2014,OOD,STATELESS,2,45.02573972451297
2014,OOD,STATELESS,4,151.73120243405077
2014,OOD,STATELESS,8,491.9351145412662
2014,OOD,DYNAMIC_HISTORY,1,0.47080287749500693
2014,OOD,DYNAMIC_HISTORY,2,3.5505446995835874
2014,OOD,DYNAMIC_HISTORY,4,28.34762822056728
2014,OOD,DYNAMIC_HISTORY,8,214.19699891317455
2014,OOD,LEAKAGE_ORACLE,1,5.5910820471205896e-12
2015,ID,STATELESS,1,12.744575272938306
2015,ID,STATELESS,2,47.19641155132826
2015,ID,STATELESS,4,163.89412840813657
2015,ID,STATELESS,8,528.8933619700457
2015,ID,DYNAMIC_HISTORY,1,0.022212926354532717
2015,ID,DYNAMIC_HISTORY,2,0.0625626342309811
2015,ID,DYNAMIC_HISTORY,4,0.20759241123612468
2015,ID,DYNAMIC_HISTORY,8,0.8259858199760328
2015,ID,LEAKAGE_ORACLE,1,2.0831325789196944e-12
2015,OOD,STATELESS,1,7.984065810815734
2015,OOD,STATELESS,2,25.157885023335556
2015,OOD,STATELESS,4,75.11778209853621
2015,OOD,STATELESS,8,204.3174492736458
2015,OOD,DYNAMIC_HISTORY,1,0.41810795356918523
2015,OOD,DYNAMIC_HISTORY,2,3.168022541227716
2015,OOD,DYNAMIC_HISTORY,4,26.105838355439914
2015,OOD,DYNAMIC_HISTORY,8,186.62225583393638
2015,OOD,LEAKAGE_ORACLE,1,5.467863837858855e-12
2016,ID,STATELESS,1,12.663843876544215
2016,ID,STATELESS,2,46.26112169876884
2016,ID,STATELESS,4,163.4379662688987
2016,ID,STATELESS,8,529.7465411806738
2016,ID,DYNAMIC_HISTORY,1,0.017363019982995255
2016,ID,DYNAMIC_HISTORY,2,0.04969231759425705
2016,ID,DYNAMIC_HISTORY,4,0.21427544178623914
2016,ID,DYNAMIC_HISTORY,8,0.6264232199410111
2016,ID,LEAKAGE_ORACLE,1,2.4075117880999854e-12
2016,OOD,STATELESS,1,8.455571311382156
2016,OOD,STATELESS,2,24.52825711005604
2016,OOD,STATELESS,4,64.00122036341041
2016,OOD,STATELESS,8,156.27158013226725
2016,OOD,DYNAMIC_HISTORY,1,0.348141168332222
2016,OOD,DYNAMIC_HISTORY,2,2.5508665835170725
2016,OOD,DYNAMIC_HISTORY,4,19.62737177605667
2016,OOD,DYNAMIC_HISTORY,8,152.74593712467131
2016,OOD,LEAKAGE_ORACLE,1,5.869178127070395e-12
2017,ID,STATELESS,1,11.482892096040409
2017,ID,STATELESS,2,41.471354943882766
2017,ID,STATELESS,4,143.4974635860022
2017,ID,STATELESS,8,428.88390085780173
2017,ID,DYNAMIC_HISTORY,1,0.02093488357234518
2017,ID,DYNAMIC_HISTORY,2,0.05364911788886344
2017,ID,DYNAMIC_HISTORY,4,0.21454862934951197
2017,ID,DYNAMIC_HISTORY,8,0.8171789638325467
2017,ID,LEAKAGE_ORACLE,1,2.323969694852971e-12
2017,OOD,STATELESS,1,7.76754766488783
2017,OOD,STATELESS,2,22.343816382735753
2017,OOD,STATELESS,4,57.62154259235091
2017,OOD,STATELESS,8,137.2094408525248
2017,OOD,DYNAMIC_HISTORY,1,0.3787809759706865
2017,OOD,DYNAMIC_HISTORY,2,2.8344431929020155
2017,OOD,DYNAMIC_HISTORY,4,22.805028712793874
2017,OOD,DYNAMIC_HISTORY,8,169.0553995321526
2017,OOD,LEAKAGE_ORACLE,1,5.000586127458848e-12
2018,ID,STATELESS,1,12.601002390513944
2018,ID,STATELESS,2,47.89287013507021
2018,ID,STATELESS,4,177.22032518762734
2018,ID,STATELESS,8,598.3792819916673
